Image_name,UT_id,date_only(YYYY-MM-DD)
UT-010-15D_09-21-2015.JPG,UT-010-15D,2015-09-21
UT01-13D_01_23_13.JPG,UT01-13D,2013-01-23
UT01-13D_01_24_13.JPG,UT01-13D,2013-01-24
UT01-13D_01_26_13.JPG,UT01-13D,2013-01-26
UT01-13D_01_27_13.JPG,UT01-13D,2013-01-27
UT01-13D_01_28_13.JPG,UT01-13D,2013-01-28
UT01-13D_01_29_13.JPG,UT01-13D,2013-01-29
UT01-13D_01_30_13.JPG,UT01-13D,2013-01-30
UT01-13D_01_31_13.JPG,UT01-13D,2013-01-31
UT01-13D_02_01_13.JPG,UT01-13D,2013-02-01
UT01-13D_02_02_13.JPG,UT01-13D,2013-02-02
UT01-13D_02_03_13.JPG,UT01-13D,2013-02-03
UT01-13D_02_04_13.JPG,UT01-13D,2013-02-04
UT01-13D_02_05_13.JPG,UT01-13D,2013-02-05
UT01-13D_02_06_13.JPG,UT01-13D,2013-02-06
UT01-13D_02_07_13.JPG,UT01-13D,2013-02-07
UT01-13D_02_08_13.JPG,UT01-13D,2013-02-08
UT01-13D_02_09_13.JPG,UT01-13D,2013-02-09
UT01-13D_02_11_13.JPG,UT01-13D,2013-02-11
UT01-13D_02_12_13.JPG,UT01-13D,2013-02-12
UT01-13D_02_13_13.JPG,UT01-13D,2013-02-13
UT01-13D_02_14_13.JPG,UT01-13D,2013-02-14
UT01-13D_02_15_13.JPG,UT01-13D,2013-02-15
UT01-13D_02_16_13.JPG,UT01-13D,2013-02-16
UT01-13D_02_17_13.JPG,UT01-13D,2013-02-17
UT01-13D_02_18_13.JPG,UT01-13D,2013-02-18
UT01-13D_02_19_13.JPG,UT01-13D,2013-02-19
UT01-13D_02_20_13.JPG,UT01-13D,2013-02-20
UT01-13D_02_21_13.JPG,UT01-13D,2013-02-21
UT01-13D_02_22_13.JPG,UT01-13D,2013-02-22
UT01-13D_02_23_13.JPG,UT01-13D,2013-02-23
UT01-13D_02_24_13.JPG,UT01-13D,2013-02-24
UT01-13D_02_25_13.JPG,UT01-13D,2013-02-25
UT01-13D_02_26_13.JPG,UT01-13D,2013-02-26
UT01-13D_02_27_13.JPG,UT01-13D,2013-02-27
UT01-13D_02_28_13.JPG,UT01-13D,2013-02-28
UT01-13D_03_01_13.JPG,UT01-13D,2013-03-01
UT01-13D_03_02_13.JPG,UT01-13D,2013-03-02
UT01-13D_03_03_13.JPG,UT01-13D,2013-03-03
UT01-13D_03_04_13.JPG,UT01-13D,2013-03-04
UT01-13D_03_05_13.JPG,UT01-13D,2013-03-05
UT01-13D_03_06_13.JPG,UT01-13D,2013-03-06
UT01-13D_03_07_13.JPG,UT01-13D,2013-03-07
UT01-13D_03_08_13.JPG,UT01-13D,2013-03-08
UT01-13D_03_09_13.JPG,UT01-13D,2013-03-09
UT01-13D_03_10_13.JPG,UT01-13D,2013-03-10
UT01-13D_03_12_13.JPG,UT01-13D,2013-03-12
UT01-13D_03_13_13.JPG,UT01-13D,2013-03-13
UT01-13D_03_14_13.JPG,UT01-13D,2013-03-14
UT01-13D_03_15_13.JPG,UT01-13D,2013-03-15
UT01-13D_03_16_13.JPG,UT01-13D,2013-03-16
UT01-13D_03_17_13.JPG,UT01-13D,2013-03-17
UT01-13D_03_18_13.JPG,UT01-13D,2013-03-18
UT01-13D_03_19_13.JPG,UT01-13D,2013-03-19
UT01-13D_03_20_13.JPG,UT01-13D,2013-03-20
UT01-13D_03_21_13.JPG,UT01-13D,2013-03-21
UT01-13D_03_22_13.JPG,UT01-13D,2013-03-22
UT01-13D_03_23_13.JPG,UT01-13D,2013-03-23
UT01-13D_03_24_13.JPG,UT01-13D,2013-03-24
UT01-13D_03_25_13.JPG,UT01-13D,2013-03-25
UT01-13D_03_26_13.JPG,UT01-13D,2013-03-26
UT01-13D_03_27_13.JPG,UT01-13D,2013-03-27
UT01-13D_03_28_13.JPG,UT01-13D,2013-03-28
UT01-13D_03_29_13.JPG,UT01-13D,2013-03-29
UT01-13D_03_30_13.JPG,UT01-13D,2013-03-30
UT01-13D_03_31_13.JPG,UT01-13D,2013-03-31
UT01-13D_04_01_13.JPG,UT01-13D,2013-04-01
UT01-13D_04_03_13.JPG,UT01-13D,2013-04-03
UT01-13D_04_05_13.JPG,UT01-13D,2013-04-05
UT01-13D_04_06_13.JPG,UT01-13D,2013-04-06
UT01-13D_04_07_13.JPG,UT01-13D,2013-04-07
UT01-13D_04_08_13.JPG,UT01-13D,2013-04-08
UT01-13D_04_09_13.JPG,UT01-13D,2013-04-09
UT01-13D_04_10_13.JPG,UT01-13D,2013-04-10
UT01-13D_04_11_13.JPG,UT01-13D,2013-04-11
UT01-13D_04_12_13.JPG,UT01-13D,2013-04-12
UT01-13D_04_13_13.JPG,UT01-13D,2013-04-13
UT01-13D_04_14_13.JPG,UT01-13D,2013-04-14
UT01-13D_04_15_13.JPG,UT01-13D,2013-04-15
UT01-13D_04_16_13.JPG,UT01-13D,2013-04-16
UT01-13D_04_17_13.JPG,UT01-13D,2013-04-17
UT01-13D_04_18_13.JPG,UT01-13D,2013-04-18
UT01-13D_04_19_13.JPG,UT01-13D,2013-04-19
UT01-13D_04_20_13.JPG,UT01-13D,2013-04-20
UT01-13D_04_21_13.JPG,UT01-13D,2013-04-21
UT01-13D_04_22_13.JPG,UT01-13D,2013-04-22
UT01-13D_04_23_13.JPG,UT01-13D,2013-04-23
UT01-13D_04_24_13.JPG,UT01-13D,2013-04-24
UT01-13D_04_25_13.JPG,UT01-13D,2013-04-25
UT01-13D_04_26_13.JPG,UT01-13D,2013-04-26
UT01-13D_04_27_13.JPG,UT01-13D,2013-04-27
UT01-13D_04_29_13.JPG,UT01-13D,2013-04-29
UT01-13D_04_30_13.JPG,UT01-13D,2013-04-30
