image_name,max_date,min_date,ADD_temp,ADD_humidity,ADD_wind_speed
UT-010-15D_09-21-2015.JPG,2015-09-21,2015-09-21,293.97055555555556,72.83333333333333,1.8888888888888888
UT01-13D_01_23_13.JPG,2013-01-23,2013-01-23,270.91142857142853,32.095238095238095,2.5238095238095237
UT01-13D_01_24_13.JPG,2013-01-24,2013-01-23,544.0447619047619,64.87301587301587,4.912698412698413
UT01-13D_01_26_13.JPG,2013-01-26,2013-01-23,1089.7339285714286,150.95634920634922,11.308531746031747
UT01-13D_01_27_13.JPG,2013-01-27,2013-01-23,1365.6830194805195,206.59271284271284,12.308531746031747
UT01-13D_01_28_13.JPG,2013-01-28,2013-01-23,1639.8711444805194,284.78021284271284,14.496031746031747
UT01-13D_01_29_13.JPG,2013-01-29,2013-01-23,1919.0361444805194,363.28021284271284,14.996031746031747
UT01-13D_01_30_13.JPG,2013-01-30,2013-01-23,2204.263203304049,445.92727166624223,15.348972922502336
UT01-13D_01_31_13.JPG,2013-01-31,2013-01-23,2490.9529175897633,532.2701288090993,18.66325863678805
UT01-13D_02_01_13.JPG,2013-02-01,2013-01-23,2772.4579175897634,605.3534621424327,21.996591970121383
UT01-13D_02_02_13.JPG,2013-02-02,2013-01-23,3041.820961068024,664.5708534467806,24.605287622295297
UT01-13D_02_03_13.JPG,2013-02-03,2013-01-23,3313.1780444013575,726.529186780114,26.521954288961965
UT01-13D_02_04_13.JPG,2013-02-04,2013-01-23,3587.3689534922664,811.6655504164776,29.976499743507418
UT01-13D_02_05_13.JPG,2013-02-05,2013-01-23,3861.5530444013575,884.4837322346593,30.74922701623469
UT01-13D_02_06_13.JPG,2013-02-06,2013-01-23,4143.065675980305,936.2205743399225,34.222911226761006
UT01-13D_02_07_13.JPG,2013-02-07,2013-01-23,4427.514675980305,996.4705743399225,35.32291122676101
UT01-13D_02_08_13.JPG,2013-02-08,2013-01-23,4712.153312343941,1047.3796652490134,35.868365772215554
UT01-13D_02_09_13.JPG,2013-02-09,2013-01-23,4994.30374712655,1128.423143509883,38.21619185917208
UT01-13D_02_11_13.JPG,2013-02-11,2013-01-23,5553.582468931061,1243.7264016552465,42.4618058942598
UT01-13D_02_12_13.JPG,2013-02-12,2013-01-23,5837.516068931061,1327.7264016552465,45.9818058942598
UT01-13D_02_13_13.JPG,2013-02-13,2013-01-23,6120.932384720535,1375.0948227078782,48.35022694689138
UT01-13D_02_14_13.JPG,2013-02-14,2013-01-23,6401.051718053868,1457.0614893745449,51.383560280224714
UT01-13D_02_15_13.JPG,2013-02-15,2013-01-23,6680.281718053868,1494.5160348290904,53.74719664386108
UT01-13D_02_16_13.JPG,2013-02-16,2013-01-23,6959.548674575607,1555.6899478725686,56.355892296034995
UT01-13D_02_17_13.JPG,2013-02-17,2013-01-23,7234.069583666516,1616.4626751452959,59.537710477853174
UT01-13D_02_18_13.JPG,2013-02-18,2013-01-23,7506.365000333183,1663.2543418119626,62.162710477853174
UT01-13D_02_19_13.JPG,2013-02-19,2013-01-23,7783.203695985357,1707.9499939858756,64.5105365648097
UT01-13D_02_20_13.JPG,2013-02-20,2013-01-23,8064.546304681009,1760.3847765945713,70.90184091263579
UT01-13D_02_21_13.JPG,2013-02-21,2013-01-23,8339.20930468101,1800.1847765945713,73.3518409126358
UT01-13D_02_22_13.JPG,2013-02-22,2013-01-23,8615.468850135556,1835.7302311400258,76.57911363990853
UT01-13D_02_23_13.JPG,2013-02-23,2013-01-23,8895.270331617037,1914.7672681770628,78.46800252879741
UT01-13D_02_24_13.JPG,2013-02-24,2013-01-23,9177.773375095298,2002.0716160031498,79.8593068766235
UT01-13D_02_25_13.JPG,2013-02-25,2013-01-23,9457.673375095297,2067.8335207650543,80.95454497186161
UT01-13D_02_26_13.JPG,2013-02-26,2013-01-23,9737.054679443123,2117.7465642433153,83.51976236316595
UT01-13D_02_27_13.JPG,2013-02-27,2013-01-23,10019.079162201744,2191.4017366571084,87.6921761562694
UT01-13D_02_28_13.JPG,2013-02-28,2013-01-23,10298.016530622797,2256.822789288687,94.21849194574308
UT01-13D_03_01_13.JPG,2013-03-01,2013-01-23,10574.288930622797,2320.502789288687,98.81849194574308
UT01-13D_03_02_13.JPG,2013-03-02,2013-01-23,10850.146530622796,2380.142789288687,101.37849194574308
UT01-13D_03_03_13.JPG,2013-03-03,2013-01-23,11124.799257895524,2434.021577167475,102.95424952150066
UT01-13D_03_04_13.JPG,2013-03-04,2013-01-23,11397.429784211314,2481.0742087464223,105.69109162676382
UT01-13D_03_05_13.JPG,2013-03-05,2013-01-23,11670.30346842184,2532.91631400958,105.95424952150066
UT01-13D_03_06_13.JPG,2013-03-06,2013-01-23,11948.821195694567,2607.3708594641257,107.95424952150066
UT01-13D_03_07_13.JPG,2013-03-07,2013-01-23,12222.881671885043,2680.0851451784115,113.28758285483399
UT01-13D_03_08_13.JPG,2013-03-08,2013-01-23,12497.395171885042,2750.6851451784114,115.33758285483398
UT01-13D_03_09_13.JPG,2013-03-09,2013-01-23,12773.90780346399,2800.10619780999,117.96916180220241
UT01-13D_03_10_13.JPG,2013-03-10,2013-01-23,13053.359803463989,2853.372864476657,119.30249513553574
UT01-13D_03_12_13.JPG,2013-03-12,2013-01-23,13626.166862287519,2958.0199233001867,124.5377892531828
UT01-13D_03_13_13.JPG,2013-03-13,2013-01-23,13907.526237287519,3020.7074233001867,126.7877892531828
UT01-13D_03_14_13.JPG,2013-03-14,2013-01-23,14184.905523001804,3075.1359947287583,128.71636068175422
