image_name,max_date,min_date,ADD
UT-010-15D_09-21-2015.JPG,2015-09-21,2015-09-21,293.97055555555556
UT01-13D_01_23_13.JPG,2013-01-23,2013-01-23,270.91142857142853
UT01-13D_01_24_13.JPG,2013-01-24,2013-01-23,544.0447619047619
UT01-13D_01_26_13.JPG,2013-01-26,2013-01-23,1089.7339285714286
UT01-13D_01_27_13.JPG,2013-01-27,2013-01-23,1365.6830194805195
UT01-13D_01_28_13.JPG,2013-01-28,2013-01-23,1639.8711444805194
UT01-13D_01_29_13.JPG,2013-01-29,2013-01-23,1919.0361444805194
UT01-13D_01_30_13.JPG,2013-01-30,2013-01-23,2204.263203304049
UT01-13D_01_31_13.JPG,2013-01-31,2013-01-23,2490.9529175897633
UT01-13D_02_01_13.JPG,2013-02-01,2013-01-23,2772.4579175897634
UT01-13D_02_02_13.JPG,2013-02-02,2013-01-23,3041.820961068024
UT01-13D_02_03_13.JPG,2013-02-03,2013-01-23,3313.1780444013575
UT01-13D_02_04_13.JPG,2013-02-04,2013-01-23,3587.3689534922664
UT01-13D_02_05_13.JPG,2013-02-05,2013-01-23,3861.5530444013575
UT01-13D_02_06_13.JPG,2013-02-06,2013-01-23,4143.065675980305
UT01-13D_02_07_13.JPG,2013-02-07,2013-01-23,4427.514675980305
UT01-13D_02_08_13.JPG,2013-02-08,2013-01-23,4712.153312343941
UT01-13D_02_09_13.JPG,2013-02-09,2013-01-23,4994.30374712655
UT01-13D_02_11_13.JPG,2013-02-11,2013-01-23,5553.582468931061
UT01-13D_02_12_13.JPG,2013-02-12,2013-01-23,5837.516068931061
UT01-13D_02_13_13.JPG,2013-02-13,2013-01-23,6120.932384720535
UT01-13D_02_14_13.JPG,2013-02-14,2013-01-23,6401.051718053868
UT01-13D_02_15_13.JPG,2013-02-15,2013-01-23,6680.281718053868
UT01-13D_02_16_13.JPG,2013-02-16,2013-01-23,6959.548674575607
UT01-13D_02_17_13.JPG,2013-02-17,2013-01-23,7234.069583666516
UT01-13D_02_18_13.JPG,2013-02-18,2013-01-23,7506.365000333183
UT01-13D_02_19_13.JPG,2013-02-19,2013-01-23,7783.203695985357
UT01-13D_02_20_13.JPG,2013-02-20,2013-01-23,8064.546304681009
UT01-13D_02_21_13.JPG,2013-02-21,2013-01-23,8339.20930468101
UT01-13D_02_22_13.JPG,2013-02-22,2013-01-23,8615.468850135556
UT01-13D_02_23_13.JPG,2013-02-23,2013-01-23,8895.270331617037
UT01-13D_02_24_13.JPG,2013-02-24,2013-01-23,9177.773375095298
UT01-13D_02_25_13.JPG,2013-02-25,2013-01-23,9457.673375095297
UT01-13D_02_26_13.JPG,2013-02-26,2013-01-23,9737.054679443123
UT01-13D_02_27_13.JPG,2013-02-27,2013-01-23,10019.079162201744
UT01-13D_02_28_13.JPG,2013-02-28,2013-01-23,10298.016530622797
UT01-13D_03_01_13.JPG,2013-03-01,2013-01-23,10574.288930622797
UT01-13D_03_02_13.JPG,2013-03-02,2013-01-23,10850.146530622796
UT01-13D_03_03_13.JPG,2013-03-03,2013-01-23,11124.799257895524
UT01-13D_03_04_13.JPG,2013-03-04,2013-01-23,11397.429784211314
UT01-13D_03_05_13.JPG,2013-03-05,2013-01-23,11670.30346842184
UT01-13D_03_06_13.JPG,2013-03-06,2013-01-23,11948.821195694567
UT01-13D_03_07_13.JPG,2013-03-07,2013-01-23,12222.881671885043
UT01-13D_03_08_13.JPG,2013-03-08,2013-01-23,12497.395171885042
UT01-13D_03_09_13.JPG,2013-03-09,2013-01-23,12773.90780346399
UT01-13D_03_10_13.JPG,2013-03-10,2013-01-23,13053.359803463989
UT01-13D_03_12_13.JPG,2013-03-12,2013-01-23,13626.166862287519
UT01-13D_03_13_13.JPG,2013-03-13,2013-01-23,13907.526237287519
UT01-13D_03_14_13.JPG,2013-03-14,2013-01-23,14184.905523001804
UT01-13D_03_15_13.JPG,2013-03-15,2013-01-23,14460.247665858948
UT01-13D_03_16_13.JPG,2013-03-16,2013-01-23,14741.452665858948
UT01-13D_03_17_13.JPG,2013-03-17,2013-01-23,15032.132665858948
UT01-13D_03_18_13.JPG,2013-03-18,2013-01-23,15323.644332525615
UT01-13D_03_19_13.JPG,2013-03-19,2013-01-23,15610.766832525615
UT01-13D_03_20_13.JPG,2013-03-20,2013-01-23,15894.29046888925
UT01-13D_03_21_13.JPG,2013-03-21,2013-01-23,16175.128294976206
UT01-13D_03_22_13.JPG,2013-03-22,2013-01-23,16449.299204067116
UT01-13D_03_23_13.JPG,2013-03-23,2013-01-23,16723.68253740045
UT01-13D_03_24_13.JPG,2013-03-24,2013-01-23,17003.527754791754
UT01-13D_03_25_13.JPG,2013-03-25,2013-01-23,17285.42637548141
UT01-13D_03_26_13.JPG,2013-03-26,2013-01-23,17561.857804052837
UT01-13D_03_27_13.JPG,2013-03-27,2013-01-23,17836.06280405284
UT01-13D_03_28_13.JPG,2013-03-28,2013-01-23,18113.132349507385
UT01-13D_03_29_13.JPG,2013-03-29,2013-01-23,18391.356849507385
UT01-13D_03_30_13.JPG,2013-03-30,2013-01-23,18669.69858863782
UT01-13D_03_31_13.JPG,2013-03-31,2013-01-23,18950.852874352106
UT01-13D_04_01_13.JPG,2013-04-01,2013-01-23,19235.996745319848
UT01-13D_04_03_13.JPG,2013-04-03,2013-01-23,19801.29882865318
UT01-13D_04_05_13.JPG,2013-04-05,2013-01-23,20363.958730131013
UT01-13D_04_06_13.JPG,2013-04-06,2013-01-23,20645.85918467647
UT01-13D_04_07_13.JPG,2013-04-07,2013-01-23,20931.090018009803
UT01-13D_04_08_13.JPG,2013-04-08,2013-01-23,21220.343061488064
UT01-13D_04_09_13.JPG,2013-04-09,2013-01-23,21510.81972815473
UT01-13D_04_10_13.JPG,2013-04-10,2013-01-23,21803.31972815473
UT01-13D_04_11_13.JPG,2013-04-11,2013-01-23,22098.148894821396
UT01-13D_04_12_13.JPG,2013-04-12,2013-01-23,22393.866394821394
UT01-13D_04_13_13.JPG,2013-04-13,2013-01-23,22683.543394821394
UT01-13D_04_14_13.JPG,2013-04-14,2013-01-23,22969.93881148806
UT01-13D_04_15_13.JPG,2013-04-15,2013-01-23,23257.69976386901
UT01-13D_04_16_13.JPG,2013-04-16,2013-01-23,23547.275478154726
UT01-13D_04_17_13.JPG,2013-04-17,2013-01-23,23841.880478154726
UT01-13D_04_18_13.JPG,2013-04-18,2013-01-23,24135.208372891568
UT01-13D_04_19_13.JPG,2013-04-19,2013-01-23,24429.477817336014
UT01-13D_04_20_13.JPG,2013-04-20,2013-01-23,24720.167817336012
UT01-13D_04_21_13.JPG,2013-04-21,2013-01-23,25002.722400669347
UT01-13D_04_22_13.JPG,2013-04-22,2013-01-23,25287.073270234563
UT01-13D_04_23_13.JPG,2013-04-23,2013-01-23,25574.22868690123
UT01-13D_04_24_13.JPG,2013-04-24,2013-01-23,25862.7421651621
UT01-13D_04_25_13.JPG,2013-04-25,2013-01-23,26152.56562670056
UT01-13D_04_26_13.JPG,2013-04-26,2013-01-23,26436.894793367228
UT01-13D_04_27_13.JPG,2013-04-27,2013-01-23,26722.30979336723
UT01-13D_04_29_13.JPG,2013-04-29,2013-01-23,27293.718922022203
UT01-13D_04_30_13.JPG,2013-04-30,2013-01-23,27583.063269848288
UT01-13D_05_01_13.JPG,2013-05-01,2013-01-23,27872.691890537943
UT01-13D_05_03_13.JPG,2013-05-03,2013-01-23,28458.06820871976
UT01-13D_05_04_13.JPG,2013-05-04,2013-01-23,28750.046780148332
UT01-13D_05_06_13.JPG,2013-05-06,2013-01-23,29323.442642700928
UT01-13D_05_07_13.JPG,2013-05-07,2013-01-23,29608.21197603426
UT01-13D_05_08_13.JPG,2013-05-08,2013-01-23,29894.776323860347
UT01-13D_05_09_13.JPG,2013-05-09,2013-01-23,30185.161561955585
UT01-13D_05_10_13.JPG,2013-05-10,2013-01-23,30476.327331186356
UT01-13D_05_11_13.JPG,2013-05-11,2013-01-23,30768.298331186357
UT01-13D_05_12_13.JPG,2013-05-12,2013-01-23,31060.4478766409
UT01-13D_05_14_13.JPG,2013-05-14,2013-01-23,31633.638757593282
UT01-13D_06_05_13.JPG,2013-06-05,2013-01-23,38109.45736348681
UT01-13D_06_06_13.JPG,2013-06-06,2013-01-23,38404.753132717575
UT01-13D_06_07_13.JPG,2013-06-07,2013-01-23,38698.821594256035
UT01-13D_06_08_13.JPG,2013-06-08,2013-01-23,38995.60594208212
UT01-13D_06_09_13.JPG,2013-06-09,2013-01-23,39290.51394208212
UT01-13D_06_10_13.JPG,2013-06-10,2013-01-23,39585.875608748785
UT01-13D_06_11_13.JPG,2013-06-11,2013-01-23,39881.853336021515
UT01-13D_06_12_13.JPG,2013-06-12,2013-01-23,40178.952136021515
UT01-13D_06_13_13.JPG,2013-06-13,2013-01-23,40478.550636021515
